task,parcellation,seed,estimator,variant,input_set,target,is_leak_target,contains_subject_info,is_connectome_only,pearson,spearman,r2,n_eval,lift_over_bvdemo,lift_perm_p,residualized_pearson,config_hash,git_commit,balanced_acc
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_SC+pred_FC,CogCryst,False,False,True,0.3116447202366091,0.310295987826982,0.0932407519175789,194.0,0.0139751953186901,0.297351324337831,0.0711513127061318,9ce33f6f,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_FC+pred_SC,CogCryst,False,False,True,0.5855240890704938,0.5894494630748661,0.3132084462596264,194.0,0.2878545641525747,0.0004997501249375,0.4780826981782841,8b3ab99b,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_FC+pred_SC+bv,CogCryst,False,True,False,0.5790959777128987,0.5846724041340201,0.3162285038744598,194.0,0.2814264527949796,0.0004997501249375,0.4786278910011863,5229fe6e,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_FC+pred_SC+bv+demo,CogCryst,False,True,False,0.5792060378544718,0.583949229892158,0.3199373043946241,194.0,0.2815365129365527,0.0004997501249375,0.4743811881299805,d2c051a8,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_SC+pred_FC+bv+demo,CogCryst,False,True,False,0.3336843360139065,0.3223310864316076,0.1075803756713478,194.0,0.0360148110959874,0.1194402798600699,0.0664277304126503,049a68d6,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,everything,CogCryst,False,True,False,0.5618397442256388,0.5595494953295129,0.2975513850010601,194.0,0.2641702193077197,0.0004997501249375,0.4615710849569449,2a1cc889,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,bv+demo,sex,True,True,False,,,,,0.0,,,ef5105e6,f8d84d1,1.0
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_FC,sex,True,False,True,,,,,-0.1089675641297434,,,4d4a8ced,f8d84d1,0.8910324358702566
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_SC,sex,True,False,True,,,,,-0.053688785244859,,,362ccf44,f8d84d1,0.9463112147551408
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_FC+obs_SC,sex,True,False,True,,,,,-0.0244859020563917,,,6b58d7d3,f8d84d1,0.9755140979436082
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,pred_SC,sex,True,False,True,,,,,-0.1136845452618189,,,179e7156,f8d84d1,0.8863154547381811
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,pred_FC,sex,True,False,True,,,,,-0.0687407250370998,,,b8ffbabd,f8d84d1,0.9312592749629002
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_FC+bv+demo,sex,True,True,False,,,,,-0.0103349586601653,,,807ba4a8,f8d84d1,0.9896650413398348
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_SC+bv+demo,sex,True,True,False,,,,,-0.0056179775280899,,,24856367,f8d84d1,0.99438202247191
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,pred_SC+bv+demo,sex,True,True,False,,,,,0.0,,,d2dc452d,f8d84d1,1.0
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,pred_FC+bv+demo,sex,True,True,False,,,,,0.0,,,e398b4cf,f8d84d1,1.0
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,pred_FC+bv,sex,True,True,False,,,,,-0.0631227475090099,,,c2509732,f8d84d1,0.93687725249099
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,pred_SC+bv,sex,True,True,False,,,,,-0.094816620733517,,,55378a72,f8d84d1,0.905183379266483
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_SC+pred_FC,sex,True,False,True,,,,,-0.053688785244859,,,bcafc8af,f8d84d1,0.9463112147551408
