rep,estimator,direction,seed,mse,r2,pearson,avg_rank,top1_acc,demeaned_pearson
r2t_corr,linear_PLS,r2t_corr->FC,1,0.015164008364081383,-0.0994567945599556,0.8134973645210266,0.5857199211045365,0.005128205128205128,0.024384576827287674
r2t_corr,KR,FC->r2t_corr,1,0.016907410696148872,-0.03133121877908707,0.8123223185539246,0.7667850098619329,0.035897435897435895,0.06356053799390793
r2t_corr,KR,r2t_corr->FC,1,0.014296988025307655,-0.03860718011856079,0.8241384625434875,0.6076265614727153,0.035897435897435895,0.03177456930279732
SC,linear_PLS,FC->SC,2,0.005528537556529045,-0.03353936970233917,0.9123838543891907,0.8578829717291255,0.07692307692307693,0.12221765518188477
SC,linear_PLS,SC->FC,2,0.0143186179921031,-0.05061308294534683,0.8277159333229065,0.7081919789612097,0.05128205128205128,0.08343001455068588
SC,KR,FC->SC,2,0.005358249880373478,-0.004041837528347969,0.9151966571807861,0.9083760683760684,0.15897435897435896,0.12698863446712494
SC,KR,SC->FC,2,0.01381649449467659,-0.015114323236048222,0.8343623280525208,0.7328862590401052,0.046153846153846156,0.08418166637420654
r2t,linear_PLS,FC->r2t,2,545749.0,0.2583622634410858,0.845878005027771,0.7416173570019724,0.010256410256410256,0.10782069712877274
r2t,linear_PLS,r2t->FC,2,0.015450926497578621,-0.13036195933818817,0.814567506313324,0.602051282051282,0.015384615384615385,0.0475134439766407
r2t,KR,FC->r2t,2,526587.4375,0.548748254776001,0.851841151714325,0.7676002629848784,0.041025641025641026,0.11133892089128494
r2t,KR,r2t->FC,2,0.014177457429468632,-0.03948777914047241,0.8296224474906921,0.6171729125575279,0.020512820512820513,0.04689789190888405
r2t_corr,linear_PLS,FC->r2t_corr,2,0.01715557835996151,-0.06718660891056061,0.8082272410392761,0.707560815253123,0.02564102564102564,0.05555726960301399
r2t_corr,linear_PLS,r2t_corr->FC,2,0.0147913359105587,-0.08390774577856064,0.8222549557685852,0.614490466798159,0.010256410256410256,0.04051646217703819
r2t_corr,KR,FC->r2t_corr,2,0.01653428189456463,-0.028292929753661156,0.8155487775802612,0.7487179487179487,0.05128205128205128,0.060051556676626205
r2t_corr,KR,r2t_corr->FC,2,0.014062526635825634,-0.03123719058930874,0.8316274881362915,0.6391584483892176,0.02564102564102564,0.046021051704883575
SC,linear_PLS,FC->SC,3,0.005576807539910078,-0.012368805706501007,0.9125555753707886,0.8823931623931623,0.10256410256410256,0.13632209599018097
SC,linear_PLS,SC->FC,3,0.014168135821819305,-0.06334134191274643,0.8249361515045166,0.6976199868507561,0.05641025641025641,0.07326773554086685
SC,KR,FC->SC,3,0.005452193785458803,0.004269481170922518,0.9148364067077637,0.9204470742932281,0.15897435897435896,0.13782672584056854
SC,KR,SC->FC,3,0.013570353388786316,-0.01852148212492466,0.8318893313407898,0.7301249178172255,0.046153846153846156,0.08608067035675049
r2t,linear_PLS,FC->r2t,3,515036.5625,0.6205102205276489,0.8457684516906738,0.7380933596318211,0.06153846153846154,0.12107005715370178
r2t,linear_PLS,r2t->FC,3,0.014980987645685673,-0.1217256560921669,0.8140917420387268,0.6098093359631822,0.020512820512820513,0.05358542874455452
r2t,KR,FC->r2t,3,497277.40625,0.7365980744361877,0.8517431020736694,0.751689677843524,0.041025641025641026,0.1176437959074974
r2t,KR,r2t->FC,3,0.013877159915864468,-0.040252380073070526,0.8277733325958252,0.6416831032215647,0.03076923076923077,0.053943291306495667
r2t_corr,linear_PLS,FC->r2t_corr,3,0.017360785976052284,-0.06630460917949677,0.8067636489868164,0.7316239316239317,0.05128205128205128,0.06381207704544067
r2t_corr,linear_PLS,r2t_corr->FC,3,0.014543522149324417,-0.08925273269414902,0.8202214241027832,0.6158053911900065,0.010256410256410256,0.038377054035663605
r2t_corr,KR,FC->r2t_corr,3,0.016793444752693176,-0.026386097073554993,0.8134355545043945,0.7868770545693622,0.05641025641025641,0.0734376385807991
r2t_corr,KR,r2t_corr->FC,3,0.013774728402495384,-0.03253268077969551,0.8295745253562927,0.6676660092044708,0.03076923076923077,0.0528937429189682
SC,linear_PLS,FC->SC,4,0.005429315380752087,-0.023700281977653503,0.9133103489875793,0.8900197238658777,0.11794871794871795,0.1402299553155899
