rep,target,seed,pearson,spearman,r2
FC,CogFluidComp_Unadj,5,0.39150453984614514,0.34305369055921586,0.08818965619647068
sink_linear,CogFluidComp_Unadj,5,0.40685396859823036,0.37902407997077864,0.12581723048631333
sink_residual,CogFluidComp_Unadj,5,0.3942779229309154,0.36414071603957276,0.14648927774840537
bv+demo,CogCrystalComp_Unadj,5,0.46978641847639785,0.44434419238992906,0.1897709943537973
FC,CogCrystalComp_Unadj,5,0.41970835519207694,0.386556117870768,0.1606674871446706
sink_linear,CogCrystalComp_Unadj,5,0.3949774639896566,0.3980582210062665,0.1285478119761253
sink_residual,CogCrystalComp_Unadj,5,0.38443648889491344,0.3950002184912075,0.09696484686362083
bv+demo,CogTotalComp_Unadj,6,0.28736099272219634,0.3069522518749617,0.0611255184247238
FC,CogTotalComp_Unadj,6,0.3450953711198032,0.27717288422074715,0.1105106880441874
sink_linear,CogTotalComp_Unadj,6,0.269515338789459,0.219253893840901,0.03690452656677101
sink_residual,CogTotalComp_Unadj,6,0.2571086609500803,0.20878707756777345,-0.05010435454294315
bv+demo,CogFluidComp_Unadj,6,0.13311445526601876,0.12149022551427968,-0.017724503440161854
FC,CogFluidComp_Unadj,6,0.12951202470388376,0.10920202357014784,0.00016925621638363975
sink_linear,CogFluidComp_Unadj,6,0.08490829067780196,0.07770426609877236,-0.05073080611381964
sink_residual,CogFluidComp_Unadj,6,0.08657930768713229,0.08810554189543554,-0.15003825347487942
bv+demo,CogCrystalComp_Unadj,6,0.342250972574646,0.34980822302651776,0.10988129386278067
FC,CogCrystalComp_Unadj,6,0.539788173298986,0.47584144211546003,0.27552278421378074
sink_linear,CogCrystalComp_Unadj,6,0.4524748104232761,0.42279239469787006,0.19354830200342765
sink_residual,CogCrystalComp_Unadj,6,0.4452483379511067,0.40864626026299383,0.1848254414596192
bv+demo,CogTotalComp_Unadj,7,0.2216328858520061,0.21072259464549947,-0.021163886115323605
FC,CogTotalComp_Unadj,7,0.3336145942931749,0.3192806679089827,0.09878867679835301
sink_linear,CogTotalComp_Unadj,7,0.2647100426695563,0.24245285578885672,0.024063203392649668
sink_residual,CogTotalComp_Unadj,7,0.25523237649368474,0.2318163850945346,-0.04829058780492912
bv+demo,CogFluidComp_Unadj,7,0.17593624644894704,0.1505225329770529,-0.00231087137355912
FC,CogFluidComp_Unadj,7,0.24061942778929285,0.21762222636885456,0.048840075750398615
sink_linear,CogFluidComp_Unadj,7,0.18026975613282353,0.18077824829720773,0.008649305803547835
sink_residual,CogFluidComp_Unadj,7,0.1626602210293774,0.1628624797746585,-0.06212478456517756
bv+demo,CogCrystalComp_Unadj,7,0.295994237846337,0.2863591538902927,0.048989587929681555
FC,CogCrystalComp_Unadj,7,0.420865753134951,0.37423697056674093,0.15021859365895118
sink_linear,CogCrystalComp_Unadj,7,0.3368212655696809,0.2963849580091749,0.07368953241025344
sink_residual,CogCrystalComp_Unadj,7,0.3335474836368026,0.29572752823088755,0.017819389833442
bv+demo,CogTotalComp_Unadj,8,0.305121263311912,0.2904645360785182,0.0881182457987526
FC,CogTotalComp_Unadj,8,0.35182091059326914,0.251627024940204,0.12026503643939512
sink_linear,CogTotalComp_Unadj,8,0.31459905304448216,0.21061675626478243,0.08916892859719605
