rep,estimator,target,pearson,spearman,r2,lift_over_bvdemo
bv+demo,HGB,CogCrystalComp_Unadj,0.36633930466890124,0.3459658408720171,0.12129000035798637,0.0
bv+demo,HGB,CogFluidComp_Unadj,0.22526104453168583,0.22499308211165697,0.04642172093234259,0.0
bv+demo,HGB,CogTotalComp_Unadj,0.35461064322647906,0.3449950847873584,0.10607753716402801,0.0
bv+demo,KR,CogCrystalComp_Unadj,0.2696233977595516,0.2545100176446135,-0.05625865130276886,0.0
bv+demo,KR,CogFluidComp_Unadj,0.1896713178998792,0.19493756127846876,-0.03235887641650659,0.0
bv+demo,KR,CogTotalComp_Unadj,0.28176743148728,0.2679362917872815,0.031052302258861686,0.0
bv+demo,linear_BR,CogCrystalComp_Unadj,0.3461942100352153,0.3474808330141026,0.09976451544268494,0.0
bv+demo,linear_BR,CogFluidComp_Unadj,0.30947954586300774,0.2848124239546935,0.08790613163367023,0.0
bv+demo,linear_BR,CogTotalComp_Unadj,0.37231206739275735,0.35159592640037296,0.13210760778580932,0.0
r2t,HGB,CogCrystalComp_Unadj,0.08818199506617783,0.06972520904331059,0.0023690456008942373,-0.27815730960272345
r2t,HGB,CogFluidComp_Unadj,0.03255263697155196,0.04234836897858211,-0.011084529252723518,-0.19270840756013385
r2t,HGB,CogTotalComp_Unadj,0.11019839573891102,0.1254434590897669,0.0034326857514647147,-0.24441224748756804
r2t,KR,CogCrystalComp_Unadj,-0.03873845737723815,-0.047344347601345566,-0.41719773191450027,-0.3083618551367897
r2t,KR,CogFluidComp_Unadj,-0.006169489967093828,-0.016593421932125086,-0.28820183495917406,-0.19584080786697303
r2t,KR,CogTotalComp_Unadj,0.009404481589550031,0.006027072830018211,-0.2083877769832001,-0.27236294989772997
r2t,linear_BR,CogCrystalComp_Unadj,0.16361849516309857,0.16494589767003592,-0.09895838865981976,-0.1825757148721167
r2t,linear_BR,CogFluidComp_Unadj,0.13032906487983228,0.12697518602098445,-0.09320009182599243,-0.17915048098317546
r2t,linear_BR,CogTotalComp_Unadj,0.19620169061078746,0.19522296155726176,-0.028895822772466606,-0.1761103767819699
r2t_corr,HGB,CogCrystalComp_Unadj,0.09443716067683258,0.09217076335080696,0.004771998537598354,-0.2719021439920687
r2t_corr,HGB,CogFluidComp_Unadj,0.057021698264746096,0.03734571736429625,-0.0042619562664955035,-0.16823934626693973
r2t_corr,HGB,CogTotalComp_Unadj,0.0868768649779629,0.08256674312439638,-0.0012378865458156918,-0.2677337782485162
r2t_corr,KR,CogCrystalComp_Unadj,0.06928994877920101,0.05818182142695434,-1.3908593476815039,-0.20033344898035055
r2t_corr,KR,CogFluidComp_Unadj,0.07753426699162386,0.06804649132473292,-0.9341277615826553,-0.11213705090825535
r2t_corr,KR,CogTotalComp_Unadj,0.09698398524479061,0.08579885082888221,-0.702223837606858,-0.18478344624248938
r2t_corr,linear_BR,CogCrystalComp_Unadj,0.10259472550135688,0.11441701977054103,0.0012202884493752175,-0.24359948453385838
r2t_corr,linear_BR,CogFluidComp_Unadj,0.15712306636602807,0.12964980917751479,0.012719284853658253,-0.15235647949697967
