rep,target,variant,seed,pearson,spearman,r2
r2t,CogFluidComp_Unadj,template,3,0.1419072000875688,0.19163667201923376,0.019338278317704183
r2t,CogFluidComp_Unadj,final,3,0.1433702416060501,0.1913542583779251,-0.032372591437176856
r2t_corr,CogFluidComp_Unadj,template,3,0.10326087790041064,0.08226329043494333,0.008706850477011252
r2t_corr,CogFluidComp_Unadj,final,3,0.10001000947807831,0.07750757418860842,-0.060423767934330685
SC_r2t,CogFluidComp_Unadj,template,3,0.14190502471479327,0.19163667201923376,0.019337763117419193
SC_r2t,CogFluidComp_Unadj,final,3,0.14336778394379726,0.1913542583779251,-0.03237476406151085
FC,CogFluidComp_Unadj,template,3,0.3243852253044343,0.3003554042172242,0.08870109916721114
FC,CogFluidComp_Unadj,final,3,0.32647437783315186,0.3019495442555566,0.09776138314495653
bv+demo,CogCrystalComp_Unadj,template,3,0.37917198004446606,0.34884808662948164,0.13429404383540255
bv+demo,CogCrystalComp_Unadj,final,3,0.3872432101068678,0.37643331689167947,0.1287042892743776
SC,CogCrystalComp_Unadj,template,3,0.0728357993507041,0.07557393366326885,-0.01785172447497918
SC,CogCrystalComp_Unadj,final,3,0.06717652729854724,0.06613690250020306,-0.12767474255289657
r2t,CogCrystalComp_Unadj,template,3,0.08262935515960247,0.07464657663078099,-0.029943439267147154
r2t,CogCrystalComp_Unadj,final,3,0.09240516783182685,0.07970981655423347,-0.15692091730649382
r2t_corr,CogCrystalComp_Unadj,template,3,-0.03299513006235339,-0.053972826660449565,-0.02800084782539214
r2t_corr,CogCrystalComp_Unadj,final,3,-0.03161653716296128,-0.05432564312307148,-0.13626000036153751
SC_r2t,CogCrystalComp_Unadj,template,3,0.08262848950124341,0.07464657663078099,-0.029943664858254504
SC_r2t,CogCrystalComp_Unadj,final,3,0.09240440997017592,0.07970981655423347,-0.15692095425342467
FC,CogCrystalComp_Unadj,template,3,0.4153267361743509,0.3810425888437308,0.1701071080743517
FC,CogCrystalComp_Unadj,final,3,0.41829871431042975,0.38008205411636325,0.16489233806684733
bv+demo,CogTotalComp_Unadj,template,4,0.2848257203450196,0.24757108702031108,0.06075401170069694
bv+demo,CogTotalComp_Unadj,final,4,0.25139580322873,0.24677196226855766,0.016824041282665236
SC,CogTotalComp_Unadj,template,4,0.17271799018203224,0.1432250281097862,0.02573276124693169
SC,CogTotalComp_Unadj,final,4,0.16589257171734956,0.13545681217706262,-0.040418190414598154
r2t,CogTotalComp_Unadj,template,4,0.17362070595061102,0.16101674847183048,0.025948685282320638
r2t,CogTotalComp_Unadj,final,4,0.17393153010264345,0.1574137980824595,-0.04493184255367755
r2t_corr,CogTotalComp_Unadj,template,4,0.1912588700522386,0.20649796925696828,0.03158399086514607
r2t_corr,CogTotalComp_Unadj,final,4,0.19107787803791462,0.20876531351490654,-0.03656516258515752
SC_r2t,CogTotalComp_Unadj,template,4,0.17361998981664697,0.16101674847183048,0.025948476540140764
SC_r2t,CogTotalComp_Unadj,final,4,0.17393053097371378,0.1574137980824595,-0.04493187790072284
FC,CogTotalComp_Unadj,template,4,0.3900794918719834,0.35460127508085254,0.14613403102337885
