rep,estimator,target,seed,pearson,spearman,r2
r2t_corr,KR,CogFluidComp_Unadj,1,0.1477813941878528,0.16064407509598258,-0.8513604361050844
FC,linear_BR,CogFluidComp_Unadj,1,0.34582752637610625,0.29843236855488836,0.11128537683453421
FC,HGB,CogFluidComp_Unadj,1,0.2021276944842135,0.20830341498672153,0.020650635418168473
FC,KR,CogFluidComp_Unadj,1,0.28707403851747976,0.27750433616460174,-1.9330082953901306
SC_r2t,linear_BR,CogFluidComp_Unadj,1,0.21460372014720414,0.1621165906815915,-0.0015836176901877774
SC_r2t,HGB,CogFluidComp_Unadj,1,0.056795256238832616,0.047300258644165545,0.0010870720808060508
SC_r2t,KR,CogFluidComp_Unadj,1,-0.010890959875688826,-0.041449999745739104,-0.31054400925815595
bv+demo,linear_BR,CogCrystalComp_Unadj,1,0.36591217147523564,0.3470096588836371,0.1225570621804335
bv+demo,HGB,CogCrystalComp_Unadj,1,0.3793147902396028,0.3477079988814519,0.13968008540679955
bv+demo,KR,CogCrystalComp_Unadj,1,0.2986980419526316,0.24027260337202977,0.003135036450044093
SC,linear_BR,CogCrystalComp_Unadj,1,0.24848785221499936,0.2396496884011496,0.057049297430515455
SC,HGB,CogCrystalComp_Unadj,1,0.22407428574218738,0.2139334902695497,0.026171830447298428
SC,KR,CogCrystalComp_Unadj,1,0.17316188648304567,0.16552034150372932,-2.4319804751841905
r2t,linear_BR,CogCrystalComp_Unadj,1,0.17045053720952558,0.1850271128279804,-0.09222155406205212
r2t,HGB,CogCrystalComp_Unadj,1,0.14523008554620187,0.1725910725908038,0.019228991287014385
r2t,KR,CogCrystalComp_Unadj,1,0.0042601291980088555,0.019665376323432928,-0.35446463395912686
r2t_corr,linear_BR,CogCrystalComp_Unadj,1,0.08952407650888959,0.1102411576696983,0.0013541843773237083
r2t_corr,HGB,CogCrystalComp_Unadj,1,0.14614676945889382,0.11697735030334559,0.019259951790369878
r2t_corr,KR,CogCrystalComp_Unadj,1,0.10435314553657538,0.10816367871668374,-1.3543338844121866
FC,linear_BR,CogCrystalComp_Unadj,1,0.4660913545186691,0.45915407654351803,0.2101826739058329
FC,HGB,CogCrystalComp_Unadj,1,0.2987783227618647,0.2751624160418028,0.06724752008955581
FC,KR,CogCrystalComp_Unadj,1,0.3401721978797899,0.3311245053386326,-3.1749510718023544
SC_r2t,linear_BR,CogCrystalComp_Unadj,1,0.17045123297395562,0.1850271128279804,-0.09222041318871033
SC_r2t,HGB,CogCrystalComp_Unadj,1,0.14515094497110778,0.1721785350659104,0.01920368565851538
SC_r2t,KR,CogCrystalComp_Unadj,1,0.004261135887051436,0.019665376323432928,-0.3544644114416169
bv+demo,linear_BR,CogTotalComp_Unadj,2,0.42883395812394515,0.36902331494332125,0.16948728579994354
bv+demo,HGB,CogTotalComp_Unadj,2,0.3957592869041123,0.3456951717911452,0.12190605265526544
bv+demo,KR,CogTotalComp_Unadj,2,0.356857348221509,0.3167282970525813,0.09620033720429666
SC,linear_BR,CogTotalComp_Unadj,2,0.314700991076293,0.26914768533328154,0.09057604890195703
SC,HGB,CogTotalComp_Unadj,2,0.27409677270903726,0.24215837776470026,0.06100479056532471
SC,KR,CogTotalComp_Unadj,2,0.3069534434047149,0.29052778442592825,-0.8316561707153376
r2t,linear_BR,CogTotalComp_Unadj,2,0.17964590969322938,0.17774429769210123,-0.032189039401379294
r2t,HGB,CogTotalComp_Unadj,2,0.18891939443779934,0.1863008447288281,0.031204175377736343
r2t,KR,CogTotalComp_Unadj,2,0.0198847681431736,0.0071784513233685565,-0.13874257148541091
