parcellation,variant,relation,n_pairs,auc,auc_lo,auc_hi,p_perm,p_fdr,sig_fdr
Glasser,pred_FC_raw,DZ,127,0.7556968964831338,0.7151713371276855,0.7923234105110168,0.0,0.0,True
Glasser,pred_FC_raw,sibling,1254,0.7096527096040668,0.6906600594520569,0.7296891212463379,0.0,0.0,True
Glasser,pred_FC_resid_bvdemo,MZ,242,0.9181090012882988,0.8964102864265442,0.9371643662452698,0.0,0.0,True
Glasser,pred_FC_resid_bvdemo,DZ,127,0.7412587751854494,0.6923552751541138,0.785010576248169,0.0,0.0,True
Glasser,pred_FC_resid_bvdemo,sibling,1254,0.7429489957459605,0.7253924012184143,0.7607092261314392,0.0,0.0,True
4S456Parcels,obs_SC,MZ,242,0.9991878115722848,0.9985175728797913,0.9996747374534607,0.0,0.0,True
4S456Parcels,obs_SC,DZ,127,0.9575249489377599,0.9457442760467529,0.9679802060127258,0.0,0.0,True
4S456Parcels,obs_SC,sibling,1254,0.8844589488621009,0.8730026483535767,0.896421492099762,0.0,0.0,True
4S456Parcels,obs_FC,MZ,242,0.9907985925461981,0.985706627368927,0.9946316480636597,0.0,0.0,True
4S456Parcels,obs_FC,DZ,127,0.8858922671634623,0.8508241772651672,0.9158507585525513,0.0,0.0,True
4S456Parcels,obs_FC,sibling,1254,0.8212261735950812,0.8046414256095886,0.8363606929779053,0.0,0.0,True
4S456Parcels,pred_SC_raw,MZ,242,0.9809708579663208,0.9741753935813904,0.9874587655067444,0.0,0.0,True
4S456Parcels,pred_SC_raw,DZ,127,0.7929565643481257,0.749722421169281,0.8313990831375122,0.0,0.0,True
4S456Parcels,pred_SC_raw,sibling,1254,0.669739028577437,0.649783730506897,0.6904788017272949,0.0,0.0,True
4S456Parcels,pred_SC_resid_bvdemo,MZ,242,0.9944598055839864,0.9914771318435669,0.9970775842666626,0.0,0.0,True
4S456Parcels,pred_SC_resid_bvdemo,DZ,127,0.8473906103696373,0.8101080060005188,0.8797120451927185,0.0,0.0,True
4S456Parcels,pred_SC_resid_bvdemo,sibling,1254,0.8160120516380853,0.8014544248580933,0.8311383128166199,0.0,0.0,True
4S456Parcels,combined_pred_SC,MZ,242,0.9081819709445319,0.8923721313476562,0.9236733913421631,0.0,0.0,True
4S456Parcels,combined_pred_SC,DZ,127,0.6906525778547552,0.6426790952682495,0.7319580316543579,0.0,0.0,True
4S456Parcels,combined_pred_SC,sibling,1254,0.5012654514794801,0.4789199233055115,0.5226291418075562,0.9041,0.9041,False
4S456Parcels,bvdemo_to_SC,MZ,242,0.9494329957277361,0.933807909488678,0.9636602401733398,0.0,0.0,True
4S456Parcels,bvdemo_to_SC,DZ,127,0.7905065471252323,0.7483565211296082,0.8309906721115112,0.0,0.0,True
4S456Parcels,bvdemo_to_SC,sibling,1254,0.5647333339229439,0.5438140034675598,0.5858396887779236,0.0,0.0,True
4S456Parcels,pred_FC_raw,MZ,242,0.9674870024391113,0.9558403491973877,0.9766018390655518,0.0,0.0,True
4S456Parcels,pred_FC_raw,DZ,127,0.8074917160308751,0.7657214999198914,0.8447433710098267,0.0,0.0,True
4S456Parcels,pred_FC_raw,sibling,1254,0.7259583872581246,0.7079979777336121,0.744552493095398,0.0,0.0,True
4S456Parcels,pred_FC_resid_bvdemo,MZ,242,0.9664838606193001,0.9549590349197388,0.9765563011169434,0.0,0.0,True
4S456Parcels,pred_FC_resid_bvdemo,DZ,127,0.7967747100004366,0.7552363872528076,0.8358967304229736,0.0,0.0,True
4S456Parcels,pred_FC_resid_bvdemo,sibling,1254,0.7688594280188793,0.7529373168945312,0.7852177023887634,0.0,0.0,True
