parcellation,seed,pc,explained_var_ratio,FC_to_PC_R2,AUC_MZ,AUC_DZ,AUC_sibling,confound_R2_test
Glasser,2,1,0.0386289581656456,0.4720117449760437,0.8054748062015504,0.5776333789329685,0.4339162080596485,0.8540918827056885
Glasser,2,2,0.016224363818764687,-0.0004965066909790039,0.6443798449612403,0.4852941176470588,0.5951535593822119,-0.02206742763519287
Glasser,2,3,0.015518841333687305,0.16512131690979004,0.6661821705426356,0.46101231190150477,0.5726966092668205,-0.11245763301849365
Glasser,2,4,0.013284167274832726,0.19274818897247314,0.7277131782945737,0.5615595075239398,0.611530268063199,-0.05283403396606445
Glasser,2,5,0.011874238029122353,0.06842803955078125,0.6698158914728682,0.58515731874145,0.5818835434049352,-0.049866318702697754
Glasser,2,6,0.010812181048095226,-0.04390251636505127,0.749031007751938,0.6450068399452804,0.4941416651872892,0.09849929809570312
Glasser,2,7,0.0100150927901268,0.11282193660736084,0.6751453488372093,0.6867305061559508,0.5776229362684182,0.1319575309753418
Glasser,2,8,0.00927732139825821,-0.00831747055053711,0.6446220930232558,0.6289329685362517,0.5093200781111308,0.007990360260009766
Glasser,2,9,0.008706692606210709,-0.003606081008911133,0.6080426356589147,0.5742134062927495,0.5280489969820699,0.09136158227920532
Glasser,2,10,0.008625811897218227,0.10133540630340576,0.6092538759689922,0.4839261285909712,0.5205929344931652,0.003658890724182129
Glasser,3,1,0.038753438740968704,0.6192468404769897,0.8170289855072463,0.6423395445134574,0.49053416149068324,0.8877597451210022
Glasser,3,2,0.015801364555954933,0.20871859788894653,0.7098861283643892,0.693064182194617,0.5850931677018634,-0.04268670082092285
Glasser,3,3,0.01529477909207344,0.033370137214660645,0.6068840579710144,0.43064182194616973,0.5203478260869565,0.03601902723312378
Glasser,3,4,0.01435297541320324,0.028547167778015137,0.6193064182194616,0.7406832298136645,0.5692422360248447,-0.0018862485885620117
Glasser,3,5,0.01125840563327074,0.12881708145141602,0.5600414078674949,0.5527950310559007,0.5234782608695653,0.05733567476272583
Glasser,3,6,0.010864811018109322,0.007284820079803467,0.6871118012422361,0.6226708074534162,0.6034285714285714,0.26690202951431274
Glasser,3,7,0.010033880360424519,0.1503496766090393,0.684265010351967,0.7360248447204969,0.6148571428571428,0.1694941520690918
Glasser,3,8,0.008961962535977364,0.03803050518035889,0.5942028985507247,0.5243271221532091,0.5680993788819876,-0.08285951614379883
Glasser,3,9,0.008901325985789299,-0.026624560356140137,0.6278467908902692,0.5936853002070392,0.5128944099378883,0.0040097832679748535
Glasser,3,10,0.008609906770288944,0.053222060203552246,0.6118012422360248,0.610248447204969,0.5259130434782608,0.03364616632461548
Glasser,4,1,0.03868930786848068,0.5830326676368713,0.7583892617449665,0.6097794822627037,0.4339231238560098,0.8826503157615662
Glasser,4,2,0.01591985672712326,0.05551719665527344,0.6502013422818792,0.5033557046979865,0.560829774252593,0.02449554204940796
