framework,direction,metric,mean,std,ci_lo,ci_hi
double_sided,FC->SC,demeaned_pearson,0.07313660681247709,0.0035929316839324607,0.0705663783196317,0.07570683530532249
double_sided,FC->SC,top1_acc,0.07636577708006273,0.023095433216030282,0.059844299432182974,0.09288725472794249
double_sided,FC->SC,avg_rank,0.8188352701222179,0.01431309332100804,0.8085962999689792,0.8290742402754566
double_sided,SC->FC,mse,0.014607066800000002,0.00020623005969860195,0.01445953870257222,0.014754594897427784
double_sided,SC->FC,r2,-0.0694416777,0.00549826176854221,-0.07337489722705832,-0.06550845817294167
double_sided,SC->FC,pearson,0.0473480079,0.004602179097620591,0.04405580729992192,0.05064020850007808
double_sided,SC->FC,demeaned_pearson,0.04737903140485282,0.004655603043313544,0.04404861361627814,0.0507094491934275
double_sided,SC->FC,top1_acc,0.026140763997906803,0.011954290880207634,0.01758917946055684,0.03469234853525677
double_sided,SC->FC,avg_rank,0.6497498910162625,0.011466805716582507,0.6415470323572786,0.6579527496752463
target_only,FC->SC,mse,0.005547693970000001,6.405957469890467e-05,0.005501868510844463,0.005593519429155538
target_only,FC->SC,r2,-0.046508753199999996,0.004771043669445986,-0.04992175223771013,-0.04309575416228986
target_only,FC->SC,pearson,0.06894074330000001,0.005121982363577036,0.0652766978438647,0.07260478875613532
target_only,FC->SC,demeaned_pearson,0.069006660208106,0.005121915160108448,0.06534266282643605,0.07267065758977595
target_only,FC->SC,top1_acc,0.06047095761381469,0.01717249364096149,0.048186495694712034,0.07275541953291735
target_only,FC->SC,avg_rank,0.8063042012683187,0.019992408408195265,0.7920024938461768,0.8206059086904606
target_only,SC->FC,mse,0.014546517800000002,0.00020427376957069703,0.014400389148225333,0.014692646451774672
target_only,SC->FC,r2,-0.06511327450000001,0.004720396952719814,-0.06849004305913445,-0.06173650594086558
target_only,SC->FC,pearson,0.046343412699999996,0.005353604241192367,0.04251367493413457,0.05017315046586542
target_only,SC->FC,demeaned_pearson,0.04639484770596023,0.005399414432891002,0.042532339303098535,0.05025735610882193
target_only,SC->FC,top1_acc,0.024092098377812628,0.009382878775754014,0.017379991247525574,0.03080420550809968
target_only,SC->FC,avg_rank,0.645867732283913,0.013175654236871623,0.6364424370346524,0.6552930275331736
