task,parcellation,seed,estimator,variant,input_set,target
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",FC+bv+demo,SC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",FC+bv+demo,SC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",FC+bv+demo,SC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",FC+bv+demo,SC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",FC+bv+demo,SC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",FC+bv+demo,SC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",FC+bv+demo,SC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",FC+bv+demo,SC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",FC+bv+demo,SC
reconstruction,Glasser,0,pca_pls,pca_pls,SC+bv+demo,FC
reconstruction,Glasser,0,bayesian_ridge,bayesian_ridge,SC+bv+demo,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",SC+bv+demo,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",SC+bv+demo,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",SC+bv+demo,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",SC+bv+demo,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",SC+bv+demo,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",SC+bv+demo,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",SC+bv+demo,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",SC+bv+demo,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",SC+bv+demo,FC
reconstruction,Glasser,0,pca_pls,pca_pls,FC,FC
reconstruction,Glasser,0,bayesian_ridge,bayesian_ridge,FC,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",FC,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",FC,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",FC,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",FC,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",FC,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",FC,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",FC,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",FC,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",FC,FC
reconstruction,Glasser,0,pca_pls,pca_pls,SC,SC
reconstruction,Glasser,0,bayesian_ridge,bayesian_ridge,SC,SC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",SC,SC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",SC,SC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",SC,SC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",SC,SC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",SC,SC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",SC,SC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",SC,SC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",SC,SC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",SC,SC
downstream,Glasser,0,pca_pls,pca_pls,bv+demo,CogTotal
downstream,Glasser,0,bayesian_ridge,bayesian_ridge,bv+demo,CogTotal
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",bv+demo,CogTotal
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",bv+demo,CogTotal
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",bv+demo,CogTotal
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",bv+demo,CogTotal
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",bv+demo,CogTotal
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",bv+demo,CogTotal
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",bv+demo,CogTotal
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",bv+demo,CogTotal
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",bv+demo,CogTotal
downstream,Glasser,0,pca_pls,pca_pls,bv+demo,CogFluid
downstream,Glasser,0,bayesian_ridge,bayesian_ridge,bv+demo,CogFluid
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",bv+demo,CogFluid
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",bv+demo,CogFluid
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",bv+demo,CogFluid
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",bv+demo,CogFluid
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",bv+demo,CogFluid
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",bv+demo,CogFluid
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",bv+demo,CogFluid
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",bv+demo,CogFluid
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",bv+demo,CogFluid
downstream,Glasser,0,pca_pls,pca_pls,bv+demo,CogCryst
downstream,Glasser,0,bayesian_ridge,bayesian_ridge,bv+demo,CogCryst
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",bv+demo,CogCryst
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",bv+demo,CogCryst
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",bv+demo,CogCryst
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",bv+demo,CogCryst
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",bv+demo,CogCryst
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",bv+demo,CogCryst
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",bv+demo,CogCryst
