task,parcellation,seed,estimator,variant,input_set,source,target,is_block,n_train,n_test,n_src_feat,n_tgt_feat,mse,r2,pearson,demeaned_pearson,top1_acc,avg_rank,status,git_commit,config_hash,data_load_mode,hp_gamma_mult,hp_alpha
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",bv,bv,FC,False,683,195,16,103740,0.0120088430121541,-0.0091087538748979,0.8222068548202515,0.0525815263390541,0.0102564102564102,0.6538067061143984,ok,6b5eb84,cbe0e013,precomputed,2.0,10.0
reconstruction,4S456Parcels,0,pca_pls,pca_pls,demo,demo,SC,False,683,195,10,103740,0.004401612561196,0.0011596225667744,0.91331285238266,0.1339095383882522,0.0102564102564102,0.7422485207100591,ok,6b5eb84,ac775e72,precomputed,,
reconstruction,4S456Parcels,0,bayesian_ridge,bayesian_ridge,demo,demo,SC,False,683,195,10,103740,0.0043757515959441,0.0078054922632873,0.9138708114624025,0.141446366906166,0.0,0.7479289940828402,ok,6b5eb84,96082b03,precomputed,,
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",demo,demo,SC,False,683,195,10,103740,0.0044419104233384,-0.0067293308675289,0.9125168323516846,0.1276077330112457,0.0256410256410256,0.7177646285338593,ok,6b5eb84,1f91b37d,precomputed,0.5,0.1
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",demo,demo,SC,False,683,195,10,103740,0.0043993545696139,0.0022589317522943,0.913394033908844,0.1336857378482818,0.0153846153846153,0.7478763971071664,ok,6b5eb84,b5fec047,precomputed,0.5,1.0
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",demo,demo,SC,False,683,195,10,103740,0.0043855174444615,0.0063846302218735,0.913809895515442,0.1348935961723327,0.0,0.7633662064431295,ok,6b5eb84,4fc81f88,precomputed,0.5,10.0
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",demo,demo,SC,False,683,195,10,103740,0.0044738175347447,-0.0130945816636085,0.911874771118164,0.1224418953061103,0.0256410256410256,0.7044575936883629,ok,6b5eb84,f97124df,precomputed,1.0,0.1
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",demo,demo,SC,False,683,195,10,103740,0.0044123134575784,-0.0004706523031927,0.9131333827972412,0.130287617444992,0.0205128205128205,0.7363050624589087,ok,6b5eb84,d7ab66f6,precomputed,1.0,1.0
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",demo,demo,SC,False,683,195,10,103740,0.0043850811198353,0.0061686467379331,0.913769543170929,0.1336656212806701,0.0307692307692307,0.7598159105851414,ok,6b5eb84,e4f125b9,precomputed,1.0,10.0
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",demo,demo,SC,False,683,195,10,103740,0.0045113959349691,-0.0205656513571739,0.9111247658729552,0.117347851395607,0.0051282051282051,0.6776331360946746,ok,6b5eb84,109c766d,precomputed,2.0,0.1
