rep,seed,target,method,mse,r2,pearson,avg_rank,top1_acc,demeaned_pearson
r2t,4,FC,shared_pca,0.01548006758093834,-0.1310453861951828,0.8160768747329712,0.6051545036160421,0.0,0.05099363252520561
r2t_corr,4,FC,shared_pca,0.014832870103418827,-0.08649714291095734,0.8247795104980469,0.6227218934911243,0.020512820512820513,0.04490159824490547
SC_r2t,4,FC,block_pca,0.014542399905622005,-0.06605923920869827,0.8281323313713074,0.6996186719263642,0.03076923076923077,0.0796881690621376
kitchen_sink,4,FC,block_pca,0.01440639328211546,-0.056757595390081406,0.8295058012008667,0.7188954635108481,0.041025641025641026,0.09431930631399155
SC,5,FC,shared_pca,0.014075997285544872,-0.06029762700200081,0.8324830532073975,0.7131886916502301,0.05641025641025641,0.08463447540998459
r2t,5,FC,shared_pca,0.014947355724871159,-0.12372931838035583,0.821442723274231,0.6272189349112426,0.02564102564102564,0.05267741531133652
r2t_corr,5,FC,shared_pca,0.014419367536902428,-0.08392544835805893,0.8282615542411804,0.6355029585798817,0.015384615384615385,0.04926609992980957
SC_r2t,5,FC,block_pca,0.014091461896896362,-0.06102534756064415,0.8316890001296997,0.7230243261012492,0.035897435897435895,0.08351632207632065
kitchen_sink,5,FC,block_pca,0.014055305160582066,-0.0584946908056736,0.8322145342826843,0.7266535174227482,0.035897435897435895,0.09343565255403519
SC,6,FC,shared_pca,0.014145704917609692,-0.06198403611779213,0.8307991027832031,0.6869953977646286,0.041025641025641026,0.07686372101306915
r2t,6,FC,shared_pca,0.01524848397821188,-0.14025604724884033,0.8172897100448608,0.5948980933596317,0.020512820512820513,0.037848785519599915
r2t_corr,6,FC,shared_pca,0.014656336978077888,-0.09570443630218506,0.8246683478355408,0.6043655489809336,0.03076923076923077,0.033387865871191025
SC_r2t,6,FC,block_pca,0.014257846400141716,-0.06956136226654053,0.8293625116348267,0.6912031558185404,0.06666666666666667,0.07545095682144165
kitchen_sink,6,FC,block_pca,0.01413792185485363,-0.06150319427251816,0.8309364318847656,0.7166863905325445,0.05641025641025641,0.09038227796554565
SC,7,FC,shared_pca,0.014533366076648235,-0.049980029463768005,0.8209017515182495,0.7385930309007231,0.06666666666666667,0.10091419517993927
r2t,7,FC,shared_pca,0.015473616309463978,-0.11595026403665543,0.8099476099014282,0.6378698224852071,0.02564102564102564,0.06010996550321579
r2t_corr,7,FC,shared_pca,0.015149880200624466,-0.09096667170524597,0.8142311573028564,0.6097041420118343,0.02564102564102564,0.03700805455446243
SC_r2t,7,FC,block_pca,0.014506087638437748,-0.049336988478899,0.821085512638092,0.7499013806706114,0.05128205128205128,0.10701443254947662
kitchen_sink,7,FC,block_pca,0.014442438259720802,-0.04494369029998779,0.8218739032745361,0.7583957922419461,0.07179487179487179,0.1169297844171524
SC,8,FC,shared_pca,0.014496535994112492,-0.05510622635483742,0.8307790756225586,0.7249178172255095,0.041025641025641026,0.08476314693689346
r2t,8,FC,shared_pca,0.01541051920503378,-0.11934797465801239,0.8186554908752441,0.6068902038132807,0.020512820512820513,0.04750067740678787
r2t_corr,8,FC,shared_pca,0.015061136335134506,-0.0926896408200264,0.8240036368370056,0.5963182117028272,0.010256410256410256,0.03215068578720093
SC_r2t,8,FC,block_pca,0.014560543932020664,-0.06058453023433685,0.8295203447341919,0.7099539776462853,0.035897435897435895,0.07922891527414322
