rep,seed,direction,mse,r2,pearson,avg_rank,top1_acc,demeaned_pearson
r2t,4,FC->r2t,549201.6875,0.32251694798469543,0.8427839279174805,0.7123208415516107,0.02564102564102564,0.1096920520067215
r2t,4,r2t->FC,0.015480071306228638,-0.13104568421840668,0.8160768151283264,0.6051545036160421,0.0,0.0509936660528183
r2t_corr,4,FC->r2t_corr,0.017353734001517296,-1040.4295654296875,0.8069875836372375,0.6927547666009204,0.02564102564102564,0.05356119945645332
r2t_corr,4,r2t_corr->FC,0.014832873828709126,-0.08649733662605286,0.8247793316841125,0.6227218934911243,0.020512820512820513,0.0449017733335495
SC,5,FC->SC,0.005553978029638529,-0.014347217977046967,0.9122107625007629,0.8937015121630506,0.14871794871794872,0.15015706419944763
SC,5,SC->FC,0.014075995422899723,-0.06029745191335678,0.8324829936027527,0.7131886916502301,0.05641025641025641,0.08463431894779205
r2t,5,FC->r2t,526510.1875,0.2943204939365387,0.8455280065536499,0.7115318869165023,0.020512820512820513,0.11021846532821655
r2t,5,r2t->FC,0.014947323128581047,-0.12372695654630661,0.8214430809020996,0.6272452333990794,0.02564102564102564,0.052678171545267105
r2t_corr,5,FC->r2t_corr,0.017364250496029854,-23.08876609802246,0.8076121807098389,0.7125575279421433,0.010256410256410256,0.058036189526319504
r2t_corr,5,r2t_corr->FC,0.01441936381161213,-0.08392507582902908,0.8282614946365356,0.6355029585798817,0.015384615384615385,0.049266669899225235
SC,6,FC->SC,0.005478620063513517,-0.029622603207826614,0.9134926795959473,0.8564102564102565,0.1076923076923077,0.13351984322071075
SC,6,SC->FC,0.014145704917609692,-0.06198415905237198,0.8307992219924927,0.6869690992767916,0.041025641025641026,0.076863594353199
r2t,6,FC->r2t,538445.125,0.4925355911254883,0.8441947102546692,0.7131360946745562,0.020512820512820513,0.10200585424900055
r2t,6,r2t->FC,0.01524848397821188,-0.14025607705116272,0.8172897100448608,0.5948980933596317,0.020512820512820513,0.03784874826669693
r2t_corr,6,FC->r2t_corr,0.01734134741127491,-40.96036148071289,0.8071699142456055,0.7115581854043392,0.020512820512820513,0.06075839325785637
r2t_corr,6,r2t_corr->FC,0.01465633511543274,-0.09570427238941193,0.8246683478355408,0.6043392504930967,0.03076923076923077,0.03338801488280296
SC,7,FC->SC,0.00550629710778594,-0.014118809252977371,0.9122567772865295,0.8674293228139383,0.11794871794871795,0.13357289135456085
SC,7,SC->FC,0.014533364214003086,-0.04997991770505905,0.82090163230896,0.7385667324128863,0.06666666666666667,0.10091429203748703
r2t,7,FC->r2t,543667.875,0.6005682349205017,0.8411315083503723,0.7152136752136753,0.041025641025641026,0.1124604269862175
r2t,7,r2t->FC,0.01547361072152853,-0.11594979465007782,0.8099477291107178,0.6378698224852071,0.02564102564102564,0.060110386461019516
r2t_corr,7,FC->r2t_corr,0.017490416765213013,-314.20062255859375,0.8053026795387268,0.7109007232084155,0.06153846153846154,0.05942189320921898
r2t_corr,7,r2t_corr->FC,0.015149880200624466,-0.09096664935350418,0.8142310380935669,0.6097304404996713,0.02564102564102564,0.037007737904787064
SC,8,FC->SC,0.005580130033195019,-0.020934268832206726,0.9116998314857483,0.8811308349769889,0.11794871794871795,0.13998465240001678
SC,8,SC->FC,0.014496534131467342,-0.05510609224438667,0.8307790756225586,0.7249178172255095,0.041025641025641026,0.08476299047470093
r2t,8,FC->r2t,529705.625,-0.47174930572509766,0.8449841737747192,0.7336226166995399,0.03076923076923077,0.11484899371862411
r2t,8,r2t->FC,0.01541051547974348,-0.11934775859117508,0.8186554908752441,0.6068902038132807,0.020512820512820513,0.04750069975852966
r2t_corr,8,FC->r2t_corr,0.017388757318258286,-4.291780471801758,0.8067263960838318,0.7056410256410257,0.03076923076923077,0.060530129820108414
r2t_corr,8,r2t_corr->FC,0.01506113726645708,-0.09268967062234879,0.8240036368370056,0.596344510190664,0.010256410256410256,0.03215071186423302
SC,9,FC->SC,0.005457290448248386,-0.02316061407327652,0.9130374193191528,0.8762494793835902,0.1326530612244898,0.13466398417949677
SC,9,SC->FC,0.014365369454026222,-0.05920897051692009,0.826097846031189,0.6929404414827156,0.04081632653061224,0.07565724104642868
r2t,9,FC->r2t,544080.0625,0.6109567880630493,0.8462012410163879,0.7272750937109538,0.05612244897959184,0.1179245263338089
r2t,9,r2t->FC,0.015395911410450935,-0.1315171867609024,0.8133884072303772,0.6139629321116201,0.03571428571428571,0.0449659489095211
r2t_corr,9,FC->r2t_corr,0.01739583909511566,-9.65953540802002,0.8072338700294495,0.7069189920866306,0.01020408163265306,0.05513935536146164
r2t_corr,9,r2t_corr->FC,0.01483824010938406,-0.090846486389637,0.8205438852310181,0.5860318617242816,0.025510204081632654,0.030691655352711678
