rep,target,seed,pearson_raw,pearson_resid
SC,CogCrystalComp_Unadj,4,0.2635103411448615,0.11672014151606738
r2t,CogCrystalComp_Unadj,4,0.17434482924490557,0.10861188129049924
r2t_corr,CogCrystalComp_Unadj,4,0.19043235074498385,0.08469990421208237
FC,CogCrystalComp_Unadj,4,0.4236332690339544,0.3544726333801301
SC_r2t,CogCrystalComp_Unadj,4,0.18936402152114934,0.12170560363524681
r2t->synthFC,CogCrystalComp_Unadj,4,0.2061785070770349,
bv+demo,CogTotalComp_Unadj,5,0.5100537367695948,
SC,CogTotalComp_Unadj,5,0.2905993409147489,0.030684486707171124
r2t,CogTotalComp_Unadj,5,0.21641284993777354,0.08646169147240619
r2t_corr,CogTotalComp_Unadj,5,0.07021149292391028,-0.028886297116466293
FC,CogTotalComp_Unadj,5,0.4435876918804908,0.24454265889850954
SC_r2t,CogTotalComp_Unadj,5,0.20957271599655747,0.09224516043272557
r2t->synthFC,CogTotalComp_Unadj,5,0.23905602469558895,
bv+demo,CogFluidComp_Unadj,5,0.33394719949270874,
SC,CogFluidComp_Unadj,5,0.2307647145022474,0.039147887504142685
r2t,CogFluidComp_Unadj,5,0.23311232319910383,0.15895526396466103
r2t_corr,CogFluidComp_Unadj,5,0.1278453114412398,0.0758905671113439
FC,CogFluidComp_Unadj,5,0.3987121158530123,0.2885216345655294
SC_r2t,CogFluidComp_Unadj,5,0.23882609094557636,0.17367836870118983
r2t->synthFC,CogFluidComp_Unadj,5,0.2611365495067188,
bv+demo,CogCrystalComp_Unadj,5,0.46296207175186277,
SC,CogCrystalComp_Unadj,5,0.2713170839856729,0.07030128365139765
r2t,CogCrystalComp_Unadj,5,0.09078270864046369,0.003164868719592681
r2t_corr,CogCrystalComp_Unadj,5,0.0052878027438213755,-0.019496039074520327
FC,CogCrystalComp_Unadj,5,0.4354277507948841,0.24433823349103842
SC_r2t,CogCrystalComp_Unadj,5,0.08561894965946502,0.004146901220289572
r2t->synthFC,CogCrystalComp_Unadj,5,0.19787695162558963,
bv+demo,CogTotalComp_Unadj,6,0.3000737346416766,
SC,CogTotalComp_Unadj,6,0.18047852131512973,0.04047033817694307
r2t,CogTotalComp_Unadj,6,0.11296777594043296,0.04811015112365587
r2t_corr,CogTotalComp_Unadj,6,0.0025230292422858468,-0.053542214859021935
FC,CogTotalComp_Unadj,6,0.37986778059157006,0.20056081149361357
SC_r2t,CogTotalComp_Unadj,6,0.10829675113433533,0.05222389419531703
r2t->synthFC,CogTotalComp_Unadj,6,0.11860857152459958,
bv+demo,CogFluidComp_Unadj,6,0.13669785284328703,
SC,CogFluidComp_Unadj,6,-0.04832718586592251,-0.05640568887925214
r2t,CogFluidComp_Unadj,6,0.021520931740418647,0.06723767202750307
