seed,K,net_pair,n_obs,n_exp,enrichment
0,100,visual || visual,33,2.214484679665738,14.901886792452832
1,500,frontoparietal || limbic,1,9.749303621169917,0.10257142857142856
1,500,limbic || visual,1,11.699164345403899,0.08547619047619048
2,100,visual || visual,31,2.214484679665738,13.998742138364781
2,100,dorsal attention || visual,20,4.011142061281337,4.986111111111112
2,100,dorsal attention || dorsal attention,9,1.745589600742804,5.155851063829788
2,100,somatosensory || ventral attention,8,3.986381925100588,2.006832298136646
2,100,default mode || dorsal attention,7,6.165273909006499,1.1353915662650602
2,100,default mode || somatosensory,4,7.192819560507583,0.5561101549053357
2,100,default mode || ventral attention,4,5.908387496131229,0.6770036668412781
2,100,dorsal attention || frontoparietal,3,3.3426183844011144,0.8975
2,100,somatosensory || somatosensory,3,2.3831631073970905,1.2588311688311689
2,100,frontoparietal || somatosensory,2,3.8997214484679668,0.5128571428571428
2,100,default mode || visual,2,6.935933147632312,0.2883534136546185
2,100,default mode || frontoparietal,1,5.779944289693593,0.17301204819277108
2,100,dorsal attention || ventral attention,1,3.4168987929433614,0.29266304347826083
2,100,frontoparietal || ventral attention,1,3.203342618384401,0.31217391304347825
2,100,dorsal attention || somatosensory,1,4.159702878365831,0.24040178571428572
2,100,frontoparietal || visual,1,3.7604456824512535,0.2659259259259259
2,100,default mode || default mode,1,5.266171463943052,0.18989127240669995
2,100,ventral attention || ventral attention,1,1.6016713091922006,0.6243478260869565
2,200,visual || visual,51,4.428969359331476,11.515094339622642
2,200,dorsal attention || visual,33,8.022284122562674,4.113541666666666
2,200,somatosensory || ventral attention,16,7.972763850201176,2.006832298136646
2,200,dorsal attention || dorsal attention,16,3.491179201485608,4.582978723404255
2,200,default mode || dorsal attention,14,12.330547818012999,1.1353915662650602
2,200,dorsal attention || frontoparietal,11,6.685236768802229,1.6454166666666665
2,200,somatosensory || somatosensory,8,4.766326214794181,1.6784415584415586
2,200,default mode || default mode,8,10.532342927886104,0.7595650896267998
2,200,default mode || somatosensory,7,14.385639121015165,0.48659638554216866
2,200,default mode || ventral attention,7,11.816774992262458,0.5923782084861183
