rank,loading,abs_load,region_i,region_j,net_i,net_j,hemi_i,hemi_j
147,-0.03413968160748482,0.03413968160748482,Right_V6,Right_POS2,visual,default mode,R,R
148,-0.03391239047050476,0.03391239047050476,Right_PGi,Right_PGs,default mode,default mode,R,R
149,-0.03385484591126442,0.03385484591126442,Right_STV,Right_RI,default mode,somatosensory,R,R
150,0.033739861100912094,0.033739861100912094,Left_MST,Left_V3CD,visual,visual,L,L
151,0.03360104560852051,0.03360104560852051,Right_STV,Right_PFm,default mode,default mode,R,R
152,-0.03342755511403084,0.03342755511403084,Right_VIP,Right_LIPd,dorsal attention,dorsal attention,R,R
153,0.03330225124955177,0.03330225124955177,Right_V2,Right_POS2,visual,default mode,R,R
154,0.0332985520362854,0.0332985520362854,Right_V3,Right_V7,visual,visual,R,R
155,0.03328408673405647,0.03328408673405647,Left_LO1,Left_V6A,visual,visual,L,L
156,0.033116940408945084,0.033116940408945084,Right_MIP,Right_PGp,dorsal attention,dorsal attention,R,R
157,0.03306020796298981,0.03306020796298981,Left_55b,Left_6r,ventral attention,ventral attention,L,L
158,0.032945722341537476,0.032945722341537476,Left_LIPv,Left_PGs,dorsal attention,default mode,L,L
159,0.03284202888607979,0.03284202888607979,Left_7PL,Left_PGs,dorsal attention,default mode,L,L
160,-0.03274288773536682,0.03274288773536682,Right_MST,Right_PGi,dorsal attention,default mode,R,R
161,-0.03262031823396683,0.03262031823396683,Left_i6-8,Left_s6-8,frontoparietal,frontoparietal,L,L
162,0.03261200338602066,0.03261200338602066,Left_PEF,Left_IFJp,dorsal attention,dorsal attention,L,L
163,0.03248671069741249,0.03248671069741249,Right_LO1,Right_V6A,visual,visual,R,R
164,0.03239767998456955,0.03239767998456955,Right_PF,Right_A4,ventral attention,somatosensory,R,R
165,-0.03236941620707512,0.03236941620707512,Right_6ma,Right_6v,ventral attention,somatosensory,R,R
166,0.03235340863466263,0.03235340863466263,Right_A5,Right_TE1a,somatosensory,default mode,R,R
167,0.03209783881902695,0.03209783881902695,Left_IP1,Left_PFm,frontoparietal,frontoparietal,L,L
168,-0.03206973150372505,0.03206973150372505,Right_V1,Left_V2,visual,visual,R,L
169,0.031853850930929184,0.031853850930929184,Left_PHT,Left_PGp,dorsal attention,dorsal attention,L,L
170,0.03178250789642334,0.03178250789642334,Left_IP1,Left_V3CD,frontoparietal,visual,L,L
171,0.03156767785549164,0.03156767785549164,Left_IFJa,Left_i6-8,frontoparietal,frontoparietal,L,L
172,-0.031404972076416016,0.031404972076416016,Left_LO2,Left_LO3,visual,visual,L,L
173,-0.03129205480217934,0.03129205480217934,Left_7m,Left_23d,default mode,default mode,L,L
174,-0.03113323263823986,0.03113323263823986,Right_VIP,Right_DVT,dorsal attention,visual,R,R
175,-0.031128114089369774,0.031128114089369774,Left_43,Left_PFop,somatosensory,ventral attention,L,L
176,-0.03109738416969776,0.03109738416969776,Left_IFSa,Left_p47r,frontoparietal,frontoparietal,L,L
177,0.030832156538963318,0.030832156538963318,Left_IP2,Left_IP1,frontoparietal,frontoparietal,L,L
178,-0.030749473720788956,0.030749473720788956,Right_V3,Left_V3,visual,visual,R,L
179,-0.03069550171494484,0.03069550171494484,Right_V3A,Right_RSC,visual,default mode,R,R
180,-0.030682088807225227,0.030682088807225227,Left_6ma,Left_6v,ventral attention,somatosensory,L,L
181,-0.030668437480926514,0.030668437480926514,Right_55b,Right_6ma,somatosensory,ventral attention,R,R
182,-0.03066781722009182,0.03066781722009182,Left_6v,Left_8Av,somatosensory,frontoparietal,L,L
183,0.030418753623962402,0.030418753623962402,Left_TE1p,Left_TPOJ2,frontoparietal,dorsal attention,L,L
184,-0.03040960617363453,0.03040960617363453,Right_PFcm,Right_PoI2,ventral attention,ventral attention,R,R
185,0.03035694919526577,0.03035694919526577,Right_IPS1,Right_PGp,dorsal attention,dorsal attention,R,R
186,0.030301855877041817,0.030301855877041817,Left_8C,Left_IFSp,frontoparietal,frontoparietal,L,L
187,-0.030273081734776497,0.030273081734776497,Right_V3,Right_RSC,visual,default mode,R,R
188,-0.030235182493925095,0.030235182493925095,Right_a9-46v,Right_p47r,frontoparietal,frontoparietal,R,R
189,0.03018929436802864,0.03018929436802864,Right_7PL,Right_A4,dorsal attention,somatosensory,R,R
190,-0.030172863975167274,0.030172863975167274,Right_A1,Right_STV,somatosensory,default mode,R,R
191,-0.0301487036049366,0.0301487036049366,Right_POS2,Right_31pv,default mode,default mode,R,R
192,-0.03013085201382637,0.03013085201382637,Right_STV,Right_LBelt,default mode,somatosensory,R,R
193,0.030117059126496315,0.030117059126496315,Left_8Av,Left_IFJp,frontoparietal,dorsal attention,L,L
194,0.030033789575099945,0.030033789575099945,Right_LIPv,Right_PFm,dorsal attention,default mode,R,R
195,-0.02990759164094925,0.02990759164094925,Left_PGp,Left_V4t,dorsal attention,visual,L,L
196,0.029752960428595543,0.029752960428595543,Right_V4t,Right_V3CD,visual,visual,R,R
197,-0.029744243249297142,0.029744243249297142,Right_6v,Right_IFJa,somatosensory,frontoparietal,R,R
198,-0.029734788462519646,0.029734788462519646,Right_STV,Right_A4,default mode,somatosensory,R,R
199,-0.02963276393711567,0.02963276393711567,Right_VIP,Right_MIP,dorsal attention,dorsal attention,R,R
200,0.029615696519613266,0.029615696519613266,Left_V3A,Left_LO2,visual,visual,L,L
