subject,rel_between_session,rel_within_session_run1
134829,0.77380776,0.5815429
135124,0.6135929,0.35758868
135225,0.5633356,0.4272404
135528,0.44003826,0.3498009
135629,0.43659523,0.37328517
135730,0.43900478,0.37000385
135932,0.2890755,0.45653293
136126,0.35582057,0.37469822
136227,0.48567334,0.37187082
136631,0.64037645,0.5453246
136732,0.51065135,0.34136343
136833,0.47544795,0.4149926
137027,0.5813724,0.39176106
137128,0.6543674,0.5004046
137229,0.55840373,0.50570136
137431,0.44672653,0.37358856
137532,0.59533095,0.47504026
137633,0.45434672,0.5141661
137936,0.7407409,0.48244256
138130,0.5770297,0.5671091
138231,0.5258421,0.48472
138332,0.4101344,0.3340861
138534,0.4512658,0.37884468
138837,0.57214385,0.41899812
139233,0.54620874,0.45863754
139435,0.38833043,0.39217195
139637,0.41214165,0.16695945
139839,0.66338754,0.3717105
140117,0.65912193,0.47538802
140319,0.5016558,0.4370219
140420,0.665647,0.4834559
140824,0.4476619,0.4034703
140925,0.7210223,0.5902448
141119,0.43914318,0.06141772
141422,0.46234125,0.24298541
141826,-0.001941575,0.3993098
142828,0.43310425,0.44403517
143224,0.5805225,0.5049498
143325,0.48307025,0.31421378
143426,0.39045843,0.34554392
143830,0.34955025,0.21607749
144125,0.6138017,0.5064519
144226,0.4768841,0.50720054
144428,0.22299287,0.26237053
144731,0.6374668,0.5031181
144832,0.46136677,0.33774248
144933,0.5059424,0.27466097
145127,0.5228668,0.22837585
145632,0.30423075,0.5679342
145834,0.41582227,0.28749532
146129,0.30709824,0.29289627
146331,0.16785464,0.45728257
146432,0.37641975,0.23894615
146533,0.7130524,0.5127629
146735,0.65018207,0.43488666
146836,0.67196745,0.4038034
146937,0.554369,0.38078892
147030,0.46910322,0.28016552
147636,0.4880914,0.24413812
147737,0.56059754,0.44999352
148032,0.58132243,0.5733376
148133,0.58796334,0.34546036
148335,0.5371139,0.39114302
148436,0.32854015,0.47684315
148840,0.3270066,0.22231412
148941,0.3972299,0.397448
149236,0.53329927,0.33865598
149337,0.67406535,0.5780699
149539,0.47690773,0.30544227
149741,0.45044634,0.21094733
149842,0.6693133,0.46812272
150423,0.18844107,0.5056683
150625,0.5009233,0.3509239
150726,0.47166178,0.3434297
150928,0.50178605,0.41164628
151223,0.4568902,0.25647873
151324,0.16745582,0.2237624
151425,0.6039528,0.4861619
151526,0.71009296,0.4193997
151627,0.63512635,0.50770104
151728,0.3846392,0.22894596
151829,0.5898999,0.4825042
151930,0.4123461,0.4337524
152225,0.45648745,0.29224283
152427,0.70697904,0.41073126
152831,0.43837738,0.29595792
153025,0.37786084,0.5039945
153126,0.585377,0.47553647
153227,0.5575527,0.43656248
153429,0.6714007,0.4727335
153631,0.47038645,0.34913674
153732,0.49940214,0.44702536
153833,0.5343567,0.24611488
153934,0.34164888,0.36383432
154229,0.44941282,0.43147084
154330,0.47216213,0.2754436
154431,0.49136227,0.27971783
154532,0.5812565,0.37691954
154734,0.5268759,0.39029783
154835,0.60005814,0.35830793
154936,0.539922,0.35778713
155635,0.47656026,0.404209
155938,0.5281267,0.3277994
156031,0.5545052,0.36577532
156233,0.27721587,0.2912147
156334,0.36543658,0.42500594
156435,0.6122308,0.33387572
156536,0.5173075,0.2994168
156637,0.39380068,0.28692406
157336,0.53048587,0.3949673
157437,0.5607458,0.27394626
157942,0.633071,0.46624467
158035,0.40377325,0.27666762
158136,0.54105574,0.3612728
158338,0.49451053,0.39144853
158540,0.35615933,0.4342579
158843,0.48149914,0.41231441
159138,0.3344083,0.24760582
159239,0.50482213,0.54327893
