subject,achieved_mean,n_test,ceiling,source,fraction
141422,0.019575532525777817,2,0.46234125,SC,0.042340008653300606
141826,-0.07761931512504816,4,-0.001941575,SC,39.97750028973805
143224,0.10170700307935476,4,0.5805225,SC,0.1751990716627775
143325,0.2763889531294505,3,0.48307025,SC,0.5721506408839098
144125,0.2508021146059036,3,0.6138017,SC,0.4086044639594573
144226,0.03644221695140004,2,0.4768841,SC,0.07641734532856105
144428,-0.053891025483608246,3,0.22299287,SC,-0.24167151839253087
144731,0.19894999265670776,4,0.6374668,SC,0.31209467325468204
144832,-0.027921907603740692,3,0.46136677,SC,-0.06051997980639285
144933,0.0927690863609314,2,0.5059424,SC,0.18335898782337948
145127,-0.07478344440460205,1,0.5228668,SC,-0.14302580390378974
145632,0.15977155417203903,2,0.30423075,SC,0.5251656979843065
145834,0.03178148344159126,1,0.41582227,SC,0.07643045054222627
146331,0.29172416031360626,4,0.16785464,SC,1.7379570818751644
146432,0.29903240501880646,2,0.37641975,SC,0.7944121024967645
146533,-0.05447172746062279,1,0.7130524,SC,-0.0763923204811074
146735,0.13656772673130035,1,0.65018207,SC,0.21004535965025975
146836,0.025072184391319752,2,0.67196745,SC,0.03731160548225922
146937,0.07387708127498627,2,0.554369,SC,0.1332633702010507
147636,0.07192307089765866,3,0.4880914,SC,0.14735574299743584
147737,0.16045615077018738,2,0.56059754,SC,0.286223430038932
148032,0.060062905152638756,3,0.58132243,SC,0.10332115544318282
148133,0.12384018115699291,2,0.58796334,SC,0.21062568485476138
148335,0.03789419122040272,3,0.5371139,SC,0.07055149982229601
148436,0.15760948757330576,3,0.32854015,SC,0.4797267170338413
148840,0.010276903087894121,3,0.3270066,SC,0.03142720387874166
148941,0.09838478546589613,5,0.3972299,SC,0.24767719012565803
149236,0.05527347989846021,4,0.53329927,SC,0.10364439444753076
149337,-0.10821636393666267,3,0.67406535,SC,-0.1605428374810583
149539,0.10655276477336884,1,0.47690773,SC,0.2234242770050484
149741,0.044872948278983436,6,0.45044634,SC,0.09961885422131177
149842,0.3036310076713562,1,0.6693133,SC,0.45364556131090805
150625,0.03459071507677436,2,0.5009233,SC,0.06905391519375194
150726,-0.0020813599694520235,1,0.47166178,SC,-0.00441282303911083
150928,-0.08209245031078656,3,0.50178605,SC,-0.16360050326386427
151223,0.116926509141922,5,0.4568902,SC,0.2559181815279076
151425,0.0642499253153801,3,0.6039528,SC,0.10638236185903949
151526,-0.2417166382074356,1,0.71009296,SC,-0.34040140069468594
151627,0.11694762110710144,1,0.63512635,SC,0.18413284397207177
151829,0.2795361280441284,1,0.5898999,SC,0.4738704448740005
151930,-0.03552678972482681,2,0.4123461,SC,-0.08615769550100465
152225,0.14220539666712284,4,0.45648745,SC,0.3115209337455451
152427,0.23905473947525024,1,0.70697904,SC,0.33813554002287005
152831,0.29127099364995956,4,0.43837738,SC,0.6644297971075962
153025,0.20289910584688187,2,0.37786084,SC,0.5369678049910699
153126,0.33264122903347015,2,0.585377,SC,0.5682512791474044
153429,0.04903009533882141,2,0.6714007,SC,0.07302657762915858
153631,0.08132513426244259,2,0.47038645,SC,0.17289004447819997
153732,0.16618935763835907,1,0.49940214,SC,0.3327766229403003
153833,0.15679983794689178,2,0.5343567,SC,0.29343664624564786
153934,0.05321669951081276,2,0.34164888,SC,0.15576430255182677
154229,0.32395604252815247,3,0.44941282,SC,0.7208429045885973
154330,0.06762481480836868,2,0.47216213,SC,0.14322371599003225
154431,0.021186412622531254,3,0.49136227,SC,0.04311770340553672
154532,-0.006617060862481594,2,0.5812565,SC,-0.01138406342549562
154734,-0.12382933994134267,3,0.5268759,SC,-0.23502562926363244
154835,0.20633457601070404,1,0.60005814,SC,0.3438576402125035
154936,0.01591377519071102,2,0.539922,SC,0.029474211442969578
155938,0.17963794246315956,2,0.5281267,SC,0.3401417547402159
156031,0.014479107223451138,2,0.5545052,SC,0.026111760941919276
156233,0.23604117333889008,1,0.27721587,SC,0.8514706367239729
156334,0.09400060772895813,2,0.36543658,SC,0.257228238423636
156435,0.07367741564909618,3,0.6122308,SC,0.120342549981308
156536,0.14049938321113586,2,0.5173075,SC,0.2715974216711257
156637,0.13724449649453163,2,0.39380068,SC,0.3485125939714772
157336,0.1729191541671753,1,0.53048587,SC,0.32596373239342885
157437,-0.1420423872768879,2,0.5607458,SC,-0.25330976580990516
157942,-0.20805078744888306,2,0.633071,SC,-0.32863736839767266
158035,0.08395041152834892,2,0.40377325,SC,0.20791474306024219
158136,0.16537803411483765,1,0.54105574,SC,0.3056580346321391
158338,0.08290277794003487,2,0.49451053,SC,0.16764613271235065
158540,0.09659504890441895,1,0.35615933,SC,0.2712130239699714
159138,-0.04421587288379669,1,0.3344083,SC,-0.13222121844402993
159239,0.10676572471857071,2,0.50482213,SC,0.2114917678402306
159441,0.09839776158332825,3,0.29272434,SC,0.3361447892694138
159744,0.111143392821153,3,0.4984918,SC,0.2229593201355629
160123,0.11583006009459496,2,0.43851355,SC,0.26414248794500184
160729,0.07301418669521809,2,0.5214639,SC,0.14001772068060336
160830,0.31084883213043213,1,0.38234195,SC,0.8130126242501827
161327,0.221887469291687,1,0.3916817,SC,0.5664994542550418
161630,0.22101931273937225,2,0.43196383,SC,0.5116616193058855
161731,0.12900574691593647,4,0.5914397,SC,0.218121554768705
161832,0.3704701066017151,1,0.27294946,SC,1.3572846291826888
162026,0.05800389498472214,2,0.41939476,SC,0.1383038142506171
162228,-0.012191999703645706,2,0.5934783,SC,-0.020543294849442187
162329,-0.1203224491328001,2,0.5904573,SC,-0.20377840892609866
162733,0.03658881410956383,3,0.5121523,SC,0.07144127656863755
162935,0.0156291164457798,1,0.61716425,SC,0.02532407936101257
163129,0.09098616484552621,5,0.40915704,SC,0.2223746775700748
163331,0.2830924093723297,1,0.48960036,SC,0.5782111952947292
163432,0.3290742337703705,1,0.47683173,SC,0.6901265437398021
163836,0.06840109080076218,1,0.45994785,SC,0.14871488322156995
164030,0.17843830585479736,2,0.41893643,SC,0.4259317000786906
164131,-0.05582667049020529,2,0.51838404,SC,-0.10769365216221796
164636,0.033679019659757614,1,0.52779067,SC,0.06381132061269218
164939,0.07185045629739761,2,0.45545763,SC,0.15775442448378263
165032,0.3360588848590851,2,0.3700802,SC,0.9080704259754644
165436,0.03380129858851433,2,0.48026282,SC,0.07038083561936843
165638,0.195978581905365,2,0.4828298,SC,0.40589578751221445
165840,0.3439597189426422,5,0.62503463,SC,0.5503050590055182
165941,0.18817178159952164,2,0.110711455,SC,1.6996595483233568
166438,0.07307108491659164,1,0.44891682,SC,0.16277199173911916
166640,0.3444310426712036,1,0.6348235,SC,0.5425618973954235
167036,0.08646065865953763,3,0.5528254,SC,0.15639776801054658
167238,0.14000287652015686,1,0.5762931,SC,0.24293693004507058
167440,0.10989810340106487,2,0.5074718,SC,0.21656002048008355
167743,0.0243280790746212,2,0.6195531,SC,0.039267141225862966
168240,-0.06623812826971213,3,0.5894358,SC,-0.11237547544569254
168341,0.12579396390356123,2,0.7518024,SC,0.16732317415262474
168745,-0.07687808759510517,2,0.47981647,SC,-0.16022394478268986
168947,0.12653294950723648,2,0.54692477,SC,0.23135348122418462
169343,-0.017072898894548418,5,0.6907084,SC,-0.02471795463114162
169545,0.054263729602098465,1,0.39145878,SC,0.13861926816943143
169949,0.12079826556146145,4,0.4282089,SC,0.28210124909001527
170631,0.08217981830239296,2,0.41848853,SC,0.19637292879303755
171532,-0.04816567059606314,4,0.42126566,SC,-0.11433562041601762
172029,0.11206959187984467,1,0.54399973,SC,0.20601038143869055
172130,-0.11141613125801086,1,0.65272343,SC,-0.17069424221221977
172332,-0.04106021299958229,1,0.4731359,SC,-0.08678312721478605
172433,0.07622335013002157,2,0.5632504,SC,0.13532764491604724
172938,0.25985707715153694,4,0.54205185,SC,0.47939524079022505
173334,0.03769472520798445,2,0.5280134,SC,0.07138971323073326
173435,0.16556233912706375,2,0.6108848,SC,0.27102055760278165
173536,0.06302321888506413,2,0.4873588,SC,0.12931585288921454
173637,0.055397593726714454,3,0.3628762,SC,0.152662516105257
173738,0.013130894862115383,2,0.38214102,SC,0.03436138539148554
173839,0.11392835900187492,2,0.44130114,SC,0.2581646605351505
174437,-0.0807332918047905,1,0.28235155,SC,-0.28593181728519107
174841,0.019326526671648026,1,0.4314837,SC,0.044790861558960456
175035,0.32938292622566223,1,0.6197205,SC,0.5315023889409213
175136,0.1381407231092453,2,0.33908653,SC,0.40739077163945525
175237,-0.07328091561794281,1,0.37382358,SC,-0.19603074695807796
175338,0.0394931983173592,4,0.45561704,SC,0.08668068761730072
175439,0.011161877463261286,3,0.46708375,SC,0.023896950949934107
175540,0.2745727151632309,2,0.52420926,SC,0.5237845572648429
175742,0.150442972779274,2,0.5308884,SC,0.28337965715444896
176037,0.15204479545354843,3,0.4354685,SC,0.349152224451478
176441,0.13346923453112444,3,0.56823516,SC,0.2348838015076794
176542,0.03750246437266469,4,0.3803128,SC,0.09860952450894288
176744,0.04431489435955882,3,0.5813918,SC,0.07622208355803921
176845,0.10487627983093262,1,0.32858798,SC,0.3191725997735298
177140,0.11056860784689586,3,0.6673367,SC,0.1656863886654156
177241,0.03220789134502411,1,0.4478451,SC,0.0719174807205083
177645,-0.00526792307694753,3,0.47632083,SC,-0.011059610970503914
177746,0.14111406356096268,2,0.51132196,SC,0.2759788833653119
178243,-0.07445504516363144,1,0.50670785,SC,-0.1469388034221918
178647,-0.06351388059556484,2,0.546518,SC,-0.11621553287460769
178849,0.12618176266551018,2,0.54783994,SC,0.23032596467046593
178950,0.05941486731171608,1,0.5042777,SC,0.11782172265740895
179245,-0.08038479089736938,1,0.6793668,SC,-0.11832310748386494
179346,0.21125440672039986,4,0.48807624,SC,0.4328307534912985
180129,-0.009827058995142579,3,0.55805504,SC,-0.01760947987342356
180230,0.03686903975903988,2,0.6193922,SC,0.059524546416696696
180432,0.0920393317937851,1,0.59025204,SC,0.15593225530196406
180533,0.21309594064950943,2,0.6886997,SC,0.30941779218069854
180735,0.12043045088648796,2,0.51493824,SC,0.23387358236686395
180836,0.12976472824811935,2,0.18563709,SC,0.6990237147550598
180937,0.17172370105981827,2,0.3095318,SC,0.5547853275812639
181131,-0.03464018553495407,2,0.48097378,SC,-0.0720209437091437
181232,0.2904099027315776,3,0.63550496,SC,0.4569750371918066
181636,0.11334006302058697,2,0.37812996,SC,0.2997383836514488
182032,-0.07898865640163422,1,0.5675768,SC,-0.13916822604735468
182436,0.02625225903466344,2,0.47225463,SC,0.0555892041432467
182739,0.13955137878656387,2,0.45556056,SC,0.30632892976197035
182840,0.01838557639469703,3,0.53655696,SC,0.034265842706983116
183034,0.1762285754084587,3,0.25872856,SC,0.6811330585554942
185139,0.04858054779469967,2,0.5577397,SC,0.08710254585553023
185341,0.09559720009565353,1,0.47184473,SC,0.20260308957070164
185442,0.123982734978199,2,0.49426976,SC,0.2508402192725669
185846,0.05093469098210335,1,0.37625393,SC,0.1353731799747669
185947,0.053045324981212616,2,0.4001199,SC,0.13257357352436763
186040,-0.03723546862602234,1,0.45169845,SC,-0.08243435111637497
186141,0.14912212640047073,2,0.53209454,SC,0.2802549456727572
186545,-0.014430591370910406,2,0.52890825,SC,-0.027283732804149693
186848,0.16432028263807297,2,0.41185242,SC,0.3989785531382163
187143,0.06840608641505241,2,0.45822877,SC,0.14928370039937128
187345,0.05113862827420235,1,0.4167494,SC,0.1227083428895215
187547,0.17575285583734512,2,0.56521094,SC,0.3109509094734527
187850,0.43092963099479675,2,0.44356927,SC,0.9715047009338513
188145,-0.020282387966290116,2,0.38806778,SC,-0.0522650655673865
188347,0.16117681842297316,4,0.5574425,SC,0.2891362219833851
188448,-0.010223213583230972,2,0.52797514,SC,-0.019363058615280582
188549,0.038473911583423615,1,0.4201085,SC,0.09158089299174764
188751,0.07036959379911423,1,0.39929056,SC,0.17623655765644503
189349,0.018759412690997124,3,0.6118518,SC,0.030660059659867185
189450,0.07738667726516724,1,0.35655874,SC,0.2170376675247597
190031,-0.0654813889414072,2,0.51718336,SC,-0.1266115540558134
191033,0.1500385453303655,3,0.5092771,SC,0.29461082253721105
191235,0.055347003042697906,1,0.50417435,SC,0.10977750661591155
191336,0.18466468155384064,2,0.5983818,SC,0.30860678174677214
191437,0.11351650580763817,5,0.5302714,SC,0.214072465170926
191841,0.1848861128091812,3,0.42331716,SC,0.43675553528040584
191942,0.029803805984556675,2,0.43928006,SC,0.0678469356987355
192136,0.026566116139292717,1,0.55648786,SC,0.047738896117684795
192237,0.027576396241784096,5,0.50783443,SC,0.054301942941883834
192439,0.14427992850542068,5,0.6909942,SC,0.2088004913867883
