subject,rel_between_session,rel_within_session_run1
151425,0.5717796,0.46329597
151526,0.6516356,0.35513967
151627,0.5802015,0.5086275
151728,0.34530893,0.21744238
151829,0.5382193,0.43293703
151930,0.36350134,0.4173224
152225,0.4913323,0.3103804
152427,0.6576909,0.40884057
152831,0.37311313,0.28817096
153025,0.3705456,0.44241494
153126,0.5248652,0.4068939
153227,0.5386024,0.39747584
153429,0.5991092,0.40830797
153631,0.3986666,0.27781636
153732,0.459439,0.4142128
153833,0.44371054,0.18009414
153934,0.2995529,0.27943078
154229,0.43312225,0.4160688
154330,0.4277048,0.26444298
154431,0.46250066,0.25241774
154532,0.54663485,0.33408278
154734,0.5591449,0.37915185
154835,0.56970143,0.3754829
154936,0.474966,0.30782413
155635,0.4248356,0.3777513
155938,0.5066538,0.30347076
156031,0.4953586,0.3395451
156233,0.27063242,0.27083665
156334,0.3027812,0.39658856
156435,0.58327603,0.30462515
156536,0.44652873,0.25574434
156637,0.31335014,0.24180846
157336,0.46228823,0.33386996
157437,0.5124839,0.23418194
157942,0.59098476,0.42910767
158035,0.33397043,0.28544253
158136,0.5097691,0.30472946
158338,0.43944865,0.38022894
158540,0.31375098,0.39440843
158843,0.4502276,0.37723997
159138,0.35570097,0.22028182
159239,0.43804926,0.48458675
159340,0.6154303,0.5180634
159441,0.26636082,0.32706016
159744,0.40624446,0.30623809
159946,0.3761995,0.28240418
160123,0.41554132,0.2213631
160729,0.47910976,0.2911438
160830,0.32866472,0.12652834
161327,0.35189506,0.19607067
161630,0.46613944,0.36958283
161731,0.5303089,0.23887661
161832,0.25374505,0.4335399
162026,0.4086506,0.26759756
162228,0.519389,0.38595468
162329,0.54717547,0.21481079
162733,0.47484404,0.20861831
162935,0.56693304,0.4182509
163129,0.40608284,0.44612485
163331,0.4489204,0.29784793
163432,0.46684602,0.37241766
163836,0.44827288,0.32154667
164030,0.3180374,0.3462907
164131,0.45585874,0.26712558
164636,0.53588736,0.38455635
164939,0.41367406,0.34885636
165032,0.36211538,0.4242455
165436,0.46203232,0.29277396
165638,0.48585266,0.2552895
165840,0.5509426,0.3237989
165941,0.10058921,0.35201624
166438,0.4202665,0.4936196
166640,0.5809323,0.25464144
167036,0.5179996,0.3958409
167238,0.56905353,0.39012355
167440,0.44306627,0.3624974
167743,0.609956,0.46763363
168139,0.4539613,0.24789767
168240,0.54163384,0.35003385
168341,0.7125768,0.5199336
168745,0.42488945,0.3783414
168947,0.51543015,0.3375394
169040,0.3182505,0.3848233
169343,0.6731936,0.4608745
169444,0.41294193,0.38393578
169545,0.328681,0.34925765
169747,0.59311324,0.35517704
169949,0.4288882,0.28390288
170631,0.412741,0.4074068
171330,0.5904049,0.42618898
171431,0.28789616,0.16883692
171532,0.40123785,0.26826003
171633,0.4002164,0.38208544
172029,0.46655363,0.41857713
172130,0.64284754,0.5272209
172332,0.41895327,0.34787697
172433,0.51962274,0.53801864
172534,0.3586435,0.37150872
172938,0.5004492,0.32755747
173334,0.49558023,0.31667674
173435,0.5928889,0.48340577
173536,0.47389206,0.5028911
173637,0.3389852,0.25023574
173738,0.35100323,0.4566761
173839,0.41907108,0.4012292
173940,0.5008066,0.40799716
174437,0.27372605,0.18190323
174841,0.39123908,0.41291332
175035,0.5697862,0.2776089
175136,0.35470492,0.25762776
175237,0.31801283,0.15073967
175338,0.44281366,0.28816152
175439,0.43211603,0.3230912
175540,0.4777786,0.30168033
175742,0.48150545,0.3667496
176037,0.3643284,0.2318605
176239,0.38577223,0.20511
176441,0.5018188,0.44001496
176542,0.3543501,0.3465958
176744,0.5310719,0.33693227
176845,0.33823222,0.3007428
177140,0.59658724,0.39089444
177241,0.41513783,0.11485213
177645,0.41821724,0.54458684
177746,0.46963513,0.3136418
178142,0.3524464,0.2995775
178243,0.47006297,0.2792088
178647,0.51185775,0.37410924
178748,0.3630153,0.43936592
178849,0.51833785,0.36892223
178950,0.47923186,0.28228462
179245,0.6153879,0.42233294
179346,0.43451944,0.29324666
180129,0.5256996,0.39125633
180230,0.57359785,0.27930418
180432,0.55767435,0.38313508
180533,0.6443414,0.4650626
180735,0.50382245,0.324711
180836,0.20392321,0.33911017
180937,0.31796873,0.13531889
181131,0.46167338,0.30762678
181232,0.59398246,0.30897555
181636,0.342991,0.21750323
182032,0.4619221,0.5158943
182436,0.43672132,0.26099253
182739,0.43227744,0.23509221
182840,0.50822836,0.36256665
183034,0.24990542,0.37772503
183337,0.19423252,0.15000138
185038,0.43281105,0.33793116
